Estación	Cod. Pluvio	Fecha	[mm]
Colonia Itapebí	1257	12/5/2016	0.0
Colonia Itapebí	1257	13/5/2016	0.0
Colonia Itapebí	1257	14/5/2016	22.0
Colonia Itapebí	1257	15/5/2016	2.0
Colonia Itapebí	1257	16/5/2016	0.0
Colonia Itapebí	1257	17/5/2016	0.0
Colonia Itapebí	1257	18/5/2016	0.0
Colonia Itapebí	1257	19/5/2016	0.0
Colonia Itapebí	1257	20/5/2016	0.0
Colonia Itapebí	1257	21/5/2016	0.0
Colonia Itapebí	1257	22/5/2016	0.0
Colonia Itapebí	1257	23/5/2016	0.0
Colonia Itapebí	1257	24/5/2016	0.0
Colonia Itapebí	1257	25/5/2016	0.0
Colonia Itapebí	1257	26/5/2016	0.0
Colonia Itapebí	1257	27/5/2016	0.0
Colonia Itapebí	1257	28/5/2016	10.0
Colonia Itapebí	1257	29/5/2016	2.0
Colonia Itapebí	1257	30/5/2016	5.0
Colonia Itapebí	1257	31/5/2016	0.0
Colonia Itapebí	1257	1/6/2016	0.0
Colonia Itapebí	1257	2/6/2016	0.0
Colonia Itapebí	1257	3/6/2016	0.0
Colonia Itapebí	1257	4/6/2016	0.0
Colonia Itapebí	1257	5/6/2016	0.0
Colonia Itapebí	1257	6/6/2016	0.0
Colonia Itapebí	1257	7/6/2016	0.0
Colonia Itapebí	1257	8/6/2016	0.0
Colonia Itapebí	1257	9/6/2016	0.0
Colonia Itapebí	1257	10/6/2016	0.0
Colonia Itapebí	1257	11/6/2016	0.0
Colonia Itapebí	1257	12/6/2016	0.0
Colonia Itapebí	1257	13/6/2016	0.0
Colonia Itapebí	1257	14/6/2016	0.0
Colonia Itapebí	1257	15/6/2016	0.0
Colonia Itapebí	1257	16/6/2016	0.0
Colonia Itapebí	1257	17/6/2016	0.0
Colonia Itapebí	1257	18/6/2016	0.0
Colonia Itapebí	1257	19/6/2016	0.0
Colonia Itapebí	1257	20/6/2016	0.0
Colonia Itapebí	1257	21/6/2016	0.0
Colonia Itapebí	1257	22/6/2016	0.0
Colonia Itapebí	1257	23/6/2016	0.0
Colonia Itapebí	1257	24/6/2016	0.0
Colonia Itapebí	1257	25/6/2016	28.0
Colonia Itapebí	1257	26/6/2016	60.0
Colonia Itapebí	1257	27/6/2016	15.0
Colonia Itapebí	1257	28/6/2016	1.0
Colonia Itapebí	1257	29/6/2016	0.0
Colonia Itapebí	1257	30/6/2016	0.0
Colonia Itapebí	1257	1/7/2016	0.0
Colonia Itapebí	1257	2/7/2016	0.0
Colonia Itapebí	1257	3/7/2016	0.0
Colonia Itapebí	1257	4/7/2016	12.0
Colonia Itapebí	1257	5/7/2016	29.0
Colonia Itapebí	1257	6/7/2016	0.0
Colonia Itapebí	1257	7/7/2016	0.0
Colonia Itapebí	1257	8/7/2016	7.0
Colonia Itapebí	1257	9/7/2016	2.0
Colonia Itapebí	1257	10/7/2016	0.0
Colonia Itapebí	1257	11/7/2016	8.0
Colonia Itapebí	1257	12/7/2016	0.0
Colonia Itapebí	1257	13/7/2016	0.0
Colonia Itapebí	1257	14/7/2016	0.0
Colonia Itapebí	1257	15/7/2016	0.0
Colonia Itapebí	1257	16/7/2016	0.0
Colonia Itapebí	1257	17/7/2016	0.0
Colonia Itapebí	1257	18/7/2016	0.0
Colonia Itapebí	1257	19/7/2016	0.0
Colonia Itapebí	1257	20/7/2016	0.0
Colonia Itapebí	1257	21/7/2016	0.0
Colonia Itapebí	1257	22/7/2016	0.0
Colonia Itapebí	1257	23/7/2016	0.0
Colonia Itapebí	1257	24/7/2016	0.1
Colonia Itapebí	1257	25/7/2016	30.0
Colonia Itapebí	1257	26/7/2016	0.0
Colonia Itapebí	1257	27/7/2016	0.0
Colonia Itapebí	1257	28/7/2016	0.0
Colonia Itapebí	1257	29/7/2016	0.0
Colonia Itapebí	1257	30/7/2016	0.0
Colonia Itapebí	1257	31/7/2016	0.0
Colonia Itapebí	1257	1/8/2016	0.0
Colonia Itapebí	1257	2/8/2016	0.0
Colonia Itapebí	1257	3/8/2016	0.0
Colonia Itapebí	1257	4/8/2016	0.0
Colonia Itapebí	1257	5/8/2016	TRAZA
Colonia Itapebí	1257	6/8/2016	0.0
Colonia Itapebí	1257	7/8/2016	0.0
Colonia Itapebí	1257	8/8/2016	0.0
Colonia Itapebí	1257	9/8/2016	0.0
Colonia Itapebí	1257	10/8/2016	0.0
Colonia Itapebí	1257	11/8/2016	0.0
Colonia Itapebí	1257	12/8/2016	0.0
Colonia Itapebí	1257	13/8/2016	0.0
Colonia Itapebí	1257	14/8/2016	0.0
Colonia Itapebí	1257	15/8/2016	0.0
Colonia Itapebí	1257	16/8/2016	13.0
Colonia Itapebí	1257	17/8/2016	0.0
Colonia Itapebí	1257	18/8/2016	0.0
Colonia Itapebí	1257	19/8/2016	0.0
Colonia Itapebí	1257	20/8/2016	0.0
Colonia Itapebí	1257	21/8/2016	0.0
Colonia Itapebí	1257	22/8/2016	0.0
Colonia Itapebí	1257	23/8/2016	0.0
Colonia Itapebí	1257	24/8/2016	0.0
Colonia Itapebí	1257	25/8/2016	0.0
Colonia Itapebí	1257	26/8/2016	0.0
Colonia Itapebí	1257	27/8/2016	55.0
Colonia Itapebí	1257	28/8/2016	2.0
Colonia Itapebí	1257	29/8/2016	13.0
Colonia Itapebí	1257	30/8/2016	0.0
Colonia Itapebí	1257	31/8/2016	0.0
Colonia Itapebí	1257	1/9/2016	13.0
Colonia Itapebí	1257	2/9/2016	19.0
Colonia Itapebí	1257	3/9/2016	5.0
Colonia Itapebí	1257	4/9/2016	8.0
Colonia Itapebí	1257	5/9/2016	7.0
Colonia Itapebí	1257	6/9/2016	0.0
Colonia Itapebí	1257	7/9/2016	0.0
Colonia Itapebí	1257	8/9/2016	0.0
Colonia Itapebí	1257	9/9/2016	0.0
Colonia Itapebí	1257	10/9/2016	0.0
Colonia Itapebí	1257	11/9/2016	0.0
Colonia Itapebí	1257	12/9/2016	4.0
Colonia Itapebí	1257	13/9/2016	0.0
Colonia Itapebí	1257	14/9/2016	0.0
Colonia Itapebí	1257	15/9/2016	0.0
Colonia Itapebí	1257	16/9/2016	0.0
Colonia Itapebí	1257	17/9/2016	0.0
Colonia Itapebí	1257	18/9/2016	0.0
Colonia Itapebí	1257	19/9/2016	0.0
Colonia Itapebí	1257	20/9/2016	0.0
Colonia Itapebí	1257	21/9/2016	0.0
Colonia Itapebí	1257	22/9/2016	0.0
Colonia Itapebí	1257	23/9/2016	0.0
Colonia Itapebí	1257	24/9/2016	0.0
Colonia Itapebí	1257	25/9/2016	0.0
Colonia Itapebí	1257	26/9/2016	0.0
Colonia Itapebí	1257	27/9/2016	0.0
Colonia Itapebí	1257	28/9/2016	0.0
Colonia Itapebí	1257	29/9/2016	0.0
