Estación	Cod. Pluvio	Fecha	[mm]
Pueblo Biassini	1232	5/12/2016	0.0
Pueblo Biassini	1232	5/13/2016	0.0
Pueblo Biassini	1232	5/14/2016	65.0
Pueblo Biassini	1232	5/15/2016	0.0
Pueblo Biassini	1232	5/16/2016	0.0
Pueblo Biassini	1232	5/17/2016	0.0
Pueblo Biassini	1232	5/18/2016	0.0
Pueblo Biassini	1232	5/19/2016	0.0
Pueblo Biassini	1232	5/20/2016	0.0
Pueblo Biassini	1232	5/21/2016	0.0
Pueblo Biassini	1232	5/22/2016	0.0
Pueblo Biassini	1232	5/23/2016	0.0
Pueblo Biassini	1232	5/24/2016	0.0
Pueblo Biassini	1232	5/25/2016	0.0
Pueblo Biassini	1232	5/26/2016	0.0
Pueblo Biassini	1232	5/27/2016	0.0
Pueblo Biassini	1232	5/28/2016	21.0
Pueblo Biassini	1232	5/29/2016	8.0
Pueblo Biassini	1232	5/30/2016	8.0
Pueblo Biassini	1232	5/31/2016	0.0
Pueblo Biassini	1232	6/1/2016	0.0
Pueblo Biassini	1232	6/2/2016	0.0
Pueblo Biassini	1232	6/3/2016	0.0
Pueblo Biassini	1232	6/4/2016	0.0
Pueblo Biassini	1232	6/5/2016	0.0
Pueblo Biassini	1232	6/6/2016	0.0
Pueblo Biassini	1232	6/7/2016	0.0
Pueblo Biassini	1232	6/8/2016	0.0
Pueblo Biassini	1232	6/9/2016	0.0
Pueblo Biassini	1232	6/10/2016	0.0
Pueblo Biassini	1232	6/11/2016	0.0
Pueblo Biassini	1232	6/12/2016	0.0
Pueblo Biassini	1232	6/13/2016	0.0
Pueblo Biassini	1232	6/14/2016	0.0
Pueblo Biassini	1232	6/15/2016	0.0
Pueblo Biassini	1232	6/16/2016	0.0
Pueblo Biassini	1232	6/17/2016	0.0
Pueblo Biassini	1232	6/18/2016	0.0
Pueblo Biassini	1232	6/19/2016	0.0
Pueblo Biassini	1232	6/20/2016	0.0
Pueblo Biassini	1232	6/21/2016	0.0
Pueblo Biassini	1232	6/22/2016	0.0
Pueblo Biassini	1232	6/23/2016	0.0
Pueblo Biassini	1232	6/24/2016	0.0
Pueblo Biassini	1232	6/25/2016	32.0
Pueblo Biassini	1232	6/26/2016	78.0
Pueblo Biassini	1232	6/27/2016	21.0
Pueblo Biassini	1232	6/28/2016	1.0
Pueblo Biassini	1232	6/29/2016	0.0
Pueblo Biassini	1232	6/30/2016	0.0
Pueblo Biassini	1232	7/1/2016	0.0
Pueblo Biassini	1232	7/2/2016	0.0
Pueblo Biassini	1232	7/3/2016	0.0
Pueblo Biassini	1232	7/4/2016	5.0
Pueblo Biassini	1232	7/5/2016	45.0
Pueblo Biassini	1232	7/6/2016	0.0
Pueblo Biassini	1232	7/7/2016	0.0
Pueblo Biassini	1232	7/8/2016	5.0
Pueblo Biassini	1232	7/9/2016	5.0
Pueblo Biassini	1232	7/10/2016	0.0
Pueblo Biassini	1232	7/11/2016	16.0
Pueblo Biassini	1232	7/12/2016	0.0
Pueblo Biassini	1232	7/13/2016	0.0
Pueblo Biassini	1232	7/14/2016	0.0
Pueblo Biassini	1232	7/15/2016	0.0
Pueblo Biassini	1232	7/16/2016	0.0
Pueblo Biassini	1232	7/17/2016	0.0
Pueblo Biassini	1232	7/18/2016	0.0
Pueblo Biassini	1232	7/19/2016	0.0
Pueblo Biassini	1232	7/20/2016	0.0
Pueblo Biassini	1232	7/21/2016	0.0
Pueblo Biassini	1232	7/22/2016	0.0
Pueblo Biassini	1232	7/23/2016	0.0
Pueblo Biassini	1232	7/24/2016	0.0
Pueblo Biassini	1232	7/25/2016	8.0
Pueblo Biassini	1232	7/26/2016	0.0
Pueblo Biassini	1232	7/27/2016	0.0
Pueblo Biassini	1232	7/28/2016	0.0
Pueblo Biassini	1232	7/29/2016	0.0
Pueblo Biassini	1232	7/30/2016	0.0
Pueblo Biassini	1232	7/31/2016	0.0
Pueblo Biassini	1232	8/1/2016	0.0
Pueblo Biassini	1232	8/2/2016	0.0
Pueblo Biassini	1232	8/3/2016	0.0
Pueblo Biassini	1232	8/4/2016	0.0
